Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
576,3296.5,-8.2,1.45,530,MISFIRE,No pressure rise post-spark,9e-05,99.97
577,4848.4,-11.8,1.34,521,MISFIRE,No pressure rise post-spark,5e-05,99.97
578,3776.0,-14.2,0.74,451,MISFIRE,No pressure rise post-spark,6e-05,99.97
579,4964.3,-12.9,1.3,518,MISFIRE,No pressure rise post-spark,5e-05,99.97
580,5304.3,-16.9,1.13,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
581,4601.4,-15.0,1.21,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
582,6443.2,-15.2,1.05,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
583,7122.7,-8.2,1.13,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
584,1948.9,-9.9,1.29,527,MISFIRE,No pressure rise post-spark,0.00019,99.97
585,6941.7,-13.4,1.03,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
586,5956.5,-15.5,1.11,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
587,4140.5,-12.3,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
588,2351.7,-17.0,1.1,503,MISFIRE,No pressure rise post-spark,0.00014,99.97
589,6992.0,-11.6,1.08,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
590,6778.4,-16.0,0.97,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
591,5550.3,-18.0,1.08,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
592,2857.2,-16.8,1.14,503,MISFIRE,No pressure rise post-spark,0.00011,99.97
593,3787.2,-13.9,1.29,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
594,7112.7,-10.3,1.08,524,MISFIRE,No pressure rise post-spark,2e-05,99.97
595,5910.2,-14.6,1.15,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
596,6658.6,-11.6,1.14,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
597,2738.5,-17.9,1.1,499,MISFIRE,No pressure rise post-spark,0.00011,99.97
598,5494.7,-11.0,1.33,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
599,7403.4,-9.7,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.97
600,5553.7,-11.5,1.29,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
601,1857.1,-11.5,1.22,521,MISFIRE,No pressure rise post-spark,0.0002,99.97
602,3091.7,-16.2,1.16,503,MISFIRE,No pressure rise post-spark,0.0001,99.97
603,2370.2,-11.0,1.11,503,MISFIRE,No pressure rise post-spark,0.00014,99.97
604,2082.1,-16.2,1.08,503,MISFIRE,No pressure rise post-spark,0.00016,99.97
605,5114.8,-14.0,1.26,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
606,5688.1,-11.4,1.21,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
607,5481.6,-17.2,1.08,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
608,4103.1,-10.8,1.4,524,MISFIRE,No pressure rise post-spark,7e-05,99.97
609,3399.8,-16.7,1.17,503,MISFIRE,No pressure rise post-spark,8e-05,99.97
610,5685.5,-12.0,1.27,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
611,5984.7,-17.3,1.04,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
612,5492.7,-14.0,1.23,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
613,2024.8,-15.4,1.18,515,MISFIRE,No pressure rise post-spark,0.00018,99.97
614,7021.3,-16.9,0.93,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
615,4650.3,-11.0,1.35,521,MISFIRE,No pressure rise post-spark,5e-05,99.97
616,4041.5,-14.1,1.26,511,MISFIRE,No pressure rise post-spark,7e-05,99.97
617,6651.3,-16.6,0.98,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
618,3829.8,-17.6,1.14,499,MISFIRE,No pressure rise post-spark,7e-05,99.97
619,5196.6,-16.1,1.14,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
620,2188.3,-12.3,1.23,518,MISFIRE,No pressure rise post-spark,0.00016,99.97
621,6840.9,-15.4,0.99,507,MISFIRE,No pressure rise post-spark,3e-05,99.98
622,1736.7,-9.1,1.26,527,MISFIRE,No pressure rise post-spark,0.00022,99.97
623,2729.3,-17.7,1.1,499,MISFIRE,No pressure rise post-spark,0.00011,99.97
624,3014.2,-13.1,1.27,515,MISFIRE,No pressure rise post-spark,0.0001,99.97
625,3742.1,-14.8,1.25,511,MISFIRE,No pressure rise post-spark,7e-05,99.97
626,3287.8,-14.2,1.24,511,MISFIRE,No pressure rise post-spark,9e-05,99.97
627,3756.4,-14.8,1.25,511,MISFIRE,No pressure rise post-spark,7e-05,99.97
628,3412.4,-10.6,1.39,524,MISFIRE,No pressure rise post-spark,9e-05,99.97
629,6410.4,-16.9,0.59,443,MISFIRE,No pressure rise post-spark,3e-05,99.97
630,6367.1,-10.7,1.22,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
631,4249.3,-9.1,1.43,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
632,4767.5,-15.4,1.2,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
633,3443.1,-17.0,1.17,503,MISFIRE,No pressure rise post-spark,8e-05,99.97
634,5935.2,-15.8,1.11,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
635,7376.3,-8.7,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
636,2149.2,-16.8,1.08,503,MISFIRE,No pressure rise post-spark,0.00016,99.97
637,6578.3,-14.6,1.06,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
638,4037.1,-10.5,1.4,524,MISFIRE,No pressure rise post-spark,7e-05,99.97
639,1733.6,-15.5,1.07,507,MISFIRE,No pressure rise post-spark,0.00021,99.97
640,3185.9,-14.4,1.24,511,MISFIRE,No pressure rise post-spark,9e-05,99.97
641,4890.4,-12.0,1.31,518,MISFIRE,No pressure rise post-spark,5e-05,99.97
642,4276.8,-13.7,1.29,515,MISFIRE,No pressure rise post-spark,6e-05,99.97
643,5194.8,-16.8,1.14,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
644,4760.9,-9.4,1.16,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
645,2355.6,-12.6,1.25,518,MISFIRE,No pressure rise post-spark,0.00014,99.97
646,6527.4,-10.9,1.19,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
647,1674.1,-14.5,1.1,511,MISFIRE,No pressure rise post-spark,0.00023,99.97
648,5322.1,-14.8,1.2,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
649,6254.9,-11.2,1.2,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
650,4662.6,-9.1,1.42,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
651,3922.4,-12.0,1.37,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
652,2573.7,-12.9,1.27,518,MISFIRE,No pressure rise post-spark,0.00013,99.97
653,6385.0,-13.3,1.12,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
654,2224.9,-11.4,1.26,521,MISFIRE,No pressure rise post-spark,0.00016,99.97
655,7465.3,-17.7,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
656,1617.8,-9.8,1.24,527,MISFIRE,No pressure rise post-spark,0.00025,99.97
657,1680.7,-12.7,1.16,518,MISFIRE,No pressure rise post-spark,0.00023,99.97
658,4094.6,-16.0,1.22,507,MISFIRE,No pressure rise post-spark,6e-05,99.97
659,2342.1,-12.7,1.24,518,MISFIRE,No pressure rise post-spark,0.00015,99.97
660,2224.1,-12.2,1.23,518,MISFIRE,No pressure rise post-spark,0.00016,99.97
661,5964.2,-15.5,1.11,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
662,2165.6,-14.2,1.16,511,MISFIRE,No pressure rise post-spark,0.00016,99.97
663,5831.5,-17.6,1.05,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
664,6265.4,-13.9,1.14,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
665,5828.3,-8.3,1.35,530,MISFIRE,No pressure rise post-spark,4e-05,99.97
666,6993.6,-16.9,0.93,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
667,5739.6,-12.6,1.24,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
668,4432.2,-9.2,1.43,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
669,5516.9,-16.8,1.12,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
670,2784.2,-11.5,1.32,521,MISFIRE,No pressure rise post-spark,0.00012,99.97
671,7493.6,-16.7,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
672,7356.2,-8.3,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
673,2744.8,-14.5,1.21,511,MISFIRE,No pressure rise post-spark,0.00012,99.97
674,6362.3,-11.0,1.19,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
675,6242.0,-10.2,1.23,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
676,1533.3,-13.5,1.11,515,MISFIRE,No pressure rise post-spark,0.00026,99.97
677,1854.3,-15.1,1.09,507,MISFIRE,No pressure rise post-spark,0.00019,99.97
678,2744.0,-16.2,1.14,503,MISFIRE,No pressure rise post-spark,0.00011,99.97
679,3132.0,-16.8,1.16,503,MISFIRE,No pressure rise post-spark,9e-05,99.97
680,7342.9,-17.0,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
681,4747.5,-8.1,1.45,530,MISFIRE,No pressure rise post-spark,5e-05,99.97
682,2583.9,-9.8,1.37,527,MISFIRE,No pressure rise post-spark,0.00013,99.97
683,4138.4,-11.2,1.37,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
684,2536.7,-14.3,1.19,511,MISFIRE,No pressure rise post-spark,0.00013,99.97
685,1716.3,-9.3,1.26,527,MISFIRE,No pressure rise post-spark,0.00023,99.97
686,5354.6,-9.7,1.37,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
687,4785.7,-10.8,1.38,524,MISFIRE,No pressure rise post-spark,5e-05,99.97
688,5207.3,-16.5,1.14,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
689,7411.2,-15.8,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
690,5164.9,-17.4,1.1,499,MISFIRE,No pressure rise post-spark,4e-05,99.97
691,6409.3,-17.6,0.99,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
692,4679.3,-10.6,1.39,524,MISFIRE,No pressure rise post-spark,5e-05,99.97
693,5971.9,-11.6,1.24,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
694,5392.1,-16.6,1.13,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
695,3709.8,-15.2,0.71,447,MISFIRE,No pressure rise post-spark,6e-05,99.97
696,5579.3,-12.9,1.25,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
697,6035.2,-11.8,1.23,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
698,2078.0,-12.4,1.22,518,MISFIRE,No pressure rise post-spark,0.00017,99.97
699,7426.2,-14.7,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,99.97
700,2997.0,-9.6,1.4,527,MISFIRE,No pressure rise post-spark,0.00011,99.97
701,3157.8,-9.4,1.41,527,MISFIRE,No pressure rise post-spark,0.0001,99.97
702,4353.2,-15.0,1.25,511,MISFIRE,No pressure rise post-spark,6e-05,99.97
703,6017.8,-9.5,1.3,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
704,2490.4,-12.7,1.26,518,MISFIRE,No pressure rise post-spark,0.00013,99.97
705,6657.9,-17.2,0.95,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
706,6199.3,-17.1,1.01,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
707,7459.5,-10.6,1.07,524,MISFIRE,No pressure rise post-spark,2e-05,99.97
708,3507.5,-10.5,1.39,524,MISFIRE,No pressure rise post-spark,8e-05,99.97
709,4985.2,-11.6,0.81,463,MISFIRE,No pressure rise post-spark,4e-05,99.97
710,2030.8,-10.3,1.27,524,MISFIRE,No pressure rise post-spark,0.00018,99.97
711,3040.4,-17.1,1.12,499,MISFIRE,No pressure rise post-spark,0.0001,99.97
712,5779.7,-11.3,1.26,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
713,2354.0,-10.7,1.31,524,MISFIRE,No pressure rise post-spark,0.00015,99.97
714,2221.6,-10.1,1.3,524,MISFIRE,No pressure rise post-spark,0.00016,99.97
715,6807.2,-9.6,1.17,527,MISFIRE,No pressure rise post-spark,3e-05,99.97
716,3190.1,-8.3,1.44,530,MISFIRE,No pressure rise post-spark,0.0001,99.97
717,1594.1,-15.9,1.05,507,MISFIRE,No pressure rise post-spark,0.00024,99.97
718,5593.7,-14.1,1.18,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
719,2485.2,-8.4,1.39,530,MISFIRE,No pressure rise post-spark,0.00014,99.97
720,5530.8,-11.2,1.29,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
721,7235.6,-16.8,0.9,503,MISFIRE,No pressure rise post-spark,2e-05,99.97
722,3002.3,-12.7,1.3,518,MISFIRE,No pressure rise post-spark,0.0001,99.97
723,7221.2,-15.2,0.93,507,MISFIRE,No pressure rise post-spark,2e-05,99.97
724,6423.6,-10.4,1.21,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
725,3300.7,-11.3,1.35,521,MISFIRE,No pressure rise post-spark,9e-05,99.97
726,5262.7,-14.1,1.21,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
727,5970.9,-10.0,1.3,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
728,4448.3,-9.0,1.43,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
729,4743.6,-13.2,1.28,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
730,4809.9,-17.0,1.12,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
731,3535.4,-13.9,1.29,515,MISFIRE,No pressure rise post-spark,8e-05,99.97
732,2127.9,-14.3,1.15,511,MISFIRE,No pressure rise post-spark,0.00016,99.97
733,4608.2,-17.2,1.13,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
734,4270.3,-15.5,1.22,507,MISFIRE,No pressure rise post-spark,6e-05,99.97
735,3739.7,-9.8,1.43,527,MISFIRE,No pressure rise post-spark,8e-05,99.97
736,5789.3,-9.7,0.82,471,MISFIRE,No pressure rise post-spark,3e-05,99.97
737,6741.9,-12.8,1.1,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
738,4649.0,-14.8,1.24,511,MISFIRE,No pressure rise post-spark,5e-05,99.97
739,4496.9,-15.2,1.21,507,MISFIRE,No pressure rise post-spark,6e-05,99.97
740,3053.2,-8.8,1.43,530,MISFIRE,No pressure rise post-spark,0.0001,99.97
741,6134.3,-13.9,1.16,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
742,7231.3,-11.6,1.04,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
743,4141.4,-16.2,1.18,503,MISFIRE,No pressure rise post-spark,6e-05,99.97
744,1607.2,-16.8,1.02,503,MISFIRE,No pressure rise post-spark,0.00023,99.97
745,2301.0,-14.6,1.17,511,MISFIRE,No pressure rise post-spark,0.00015,99.97
746,1930.8,-9.2,1.29,527,MISFIRE,No pressure rise post-spark,0.00019,99.97
747,2411.4,-12.7,1.25,518,MISFIRE,No pressure rise post-spark,0.00014,99.97
748,2788.4,-15.8,1.18,507,MISFIRE,No pressure rise post-spark,0.00011,99.97
749,4561.2,-10.7,1.39,524,MISFIRE,No pressure rise post-spark,6e-05,99.97
750,6337.6,-12.2,1.16,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
751,4083.5,-9.3,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
752,2682.1,-15.9,1.17,507,MISFIRE,No pressure rise post-spark,0.00012,99.97
753,3979.4,-13.7,1.3,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
754,6802.0,-15.6,0.99,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
755,2665.4,-10.6,1.34,524,MISFIRE,No pressure rise post-spark,0.00012,99.97
756,4504.0,-16.6,1.17,503,MISFIRE,No pressure rise post-spark,6e-05,99.97
757,6419.6,-18.0,0.98,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
758,6106.3,-12.7,1.19,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
759,2645.7,-16.3,1.13,503,MISFIRE,No pressure rise post-spark,0.00012,99.97
760,2532.5,-11.0,1.3,521,MISFIRE,No pressure rise post-spark,0.00013,99.97
761,6483.2,-10.8,1.2,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
762,2904.4,-11.9,1.33,521,MISFIRE,No pressure rise post-spark,0.00011,99.97
763,7483.1,-13.9,0.99,515,MISFIRE,No pressure rise post-spark,2e-05,99.97
764,6358.0,-17.8,1.13,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
765,1851.4,-16.2,1.05,503,MISFIRE,No pressure rise post-spark,0.00019,99.97
766,2768.5,-11.7,1.32,521,MISFIRE,No pressure rise post-spark,0.00012,99.97
767,3041.7,-16.3,1.15,503,MISFIRE,No pressure rise post-spark,0.0001,99.97
768,6706.5,-11.7,1.13,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
769,3419.2,-10.8,1.39,524,MISFIRE,No pressure rise post-spark,9e-05,99.97
770,2744.8,-11.6,1.32,521,MISFIRE,No pressure rise post-spark,0.00012,99.97
771,6671.3,-13.5,1.08,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
772,4678.2,-16.4,1.17,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
773,4627.3,-17.3,1.13,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
774,6338.2,-15.2,1.06,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
775,3300.8,-13.5,1.28,515,MISFIRE,No pressure rise post-spark,9e-05,99.97
776,2043.4,-16.6,1.07,503,MISFIRE,No pressure rise post-spark,0.00017,99.97
777,2830.4,-16.9,1.14,503,MISFIRE,No pressure rise post-spark,0.00011,99.97
778,6515.1,-10.8,1.19,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
779,5381.5,-8.9,1.4,530,MISFIRE,No pressure rise post-spark,4e-05,99.97
780,1765.6,-11.6,1.29,530,MISFIRE,No pressure rise post-spark,0.00022,99.97
781,5398.3,-11.1,1.3,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
782,2063.7,-9.3,1.31,527,MISFIRE,No pressure rise post-spark,0.00018,99.97
783,7284.1,-10.5,1.07,524,MISFIRE,No pressure rise post-spark,2e-05,99.97
784,1751.9,-17.2,1.01,499,MISFIRE,No pressure rise post-spark,0.00021,99.97
785,1806.6,-18.0,1.01,499,MISFIRE,No pressure rise post-spark,0.0002,99.97
786,7439.4,-9.5,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.97
787,5024.0,-8.1,1.43,530,MISFIRE,No pressure rise post-spark,5e-05,99.97
788,4639.5,-15.2,1.21,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
789,6252.4,-11.2,1.2,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
790,2730.2,-9.6,1.38,527,MISFIRE,No pressure rise post-spark,0.00012,99.97
791,5964.5,-10.3,1.27,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
792,1888.4,-14.4,1.12,511,MISFIRE,No pressure rise post-spark,0.00019,99.97
793,4366.9,-15.1,1.25,511,MISFIRE,No pressure rise post-spark,6e-05,99.97
794,3152.0,-12.1,1.31,518,MISFIRE,No pressure rise post-spark,0.0001,99.97
795,7323.6,-17.2,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
796,3054.8,-8.1,0.9,475,MISFIRE,No pressure rise post-spark,9e-05,99.97
797,5560.7,-17.4,0.62,439,MISFIRE,No pressure rise post-spark,3e-05,99.97
798,4446.5,-9.0,1.46,530,MISFIRE,No pressure rise post-spark,6e-05,99.97
799,4629.4,-16.5,1.17,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
800,7161.4,-13.3,0.99,515,MISFIRE,No pressure rise post-spark,2e-05,99.97
801,1620.1,-16.2,1.02,503,MISFIRE,No pressure rise post-spark,0.00023,99.97
802,7273.3,-10.7,1.07,524,MISFIRE,No pressure rise post-spark,2e-05,99.97
803,6712.2,-10.8,1.16,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
804,5335.4,-10.9,1.34,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
805,3831.6,-13.5,1.29,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
806,5618.5,-9.6,1.35,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
807,5622.0,-10.3,1.31,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
808,2265.1,-12.5,1.24,518,MISFIRE,No pressure rise post-spark,0.00015,99.97
809,3894.1,-14.1,1.26,511,MISFIRE,No pressure rise post-spark,7e-05,99.97
810,5175.2,-11.7,1.32,521,MISFIRE,No pressure rise post-spark,5e-05,99.97
811,3953.3,-15.3,1.22,507,MISFIRE,No pressure rise post-spark,7e-05,99.97
812,1946.1,-12.4,1.1,507,MISFIRE,No pressure rise post-spark,0.00018,99.97
813,4026.9,-12.9,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
814,7282.0,-8.7,0.71,475,MISFIRE,No pressure rise post-spark,2e-05,99.97
815,2692.8,-12.2,1.28,518,MISFIRE,No pressure rise post-spark,0.00012,99.97
816,6505.6,-12.2,1.13,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
817,5486.3,-9.3,0.84,471,MISFIRE,No pressure rise post-spark,4e-05,99.97
818,6677.0,-10.9,1.16,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
819,7039.2,-14.2,0.98,511,MISFIRE,No pressure rise post-spark,2e-05,99.97
820,7263.7,-13.1,0.99,515,MISFIRE,No pressure rise post-spark,2e-05,99.97
821,6701.3,-12.3,1.1,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
822,2651.9,-8.5,1.4,530,MISFIRE,No pressure rise post-spark,0.00013,99.97
823,5803.2,-14.0,1.2,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
824,4767.2,-10.6,0.85,467,MISFIRE,No pressure rise post-spark,5e-05,99.97
825,3316.0,-15.4,1.2,507,MISFIRE,No pressure rise post-spark,9e-05,99.97
826,6970.1,-17.6,0.9,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
827,4457.1,-11.2,1.36,521,MISFIRE,No pressure rise post-spark,6e-05,99.97
828,4796.4,-9.0,1.41,527,MISFIRE,No pressure rise post-spark,5e-05,99.97
829,7483.4,-12.2,1.02,518,MISFIRE,No pressure rise post-spark,2e-05,99.97
830,5280.0,-16.7,1.13,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
831,3388.4,-11.4,1.35,521,MISFIRE,No pressure rise post-spark,9e-05,99.97
832,3414.9,-16.8,1.17,503,MISFIRE,No pressure rise post-spark,8e-05,99.97
833,2080.5,-8.1,1.34,530,MISFIRE,No pressure rise post-spark,0.00018,99.97
834,6727.8,-16.4,0.97,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
835,5302.0,-13.8,1.24,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
836,3488.8,-11.6,1.36,521,MISFIRE,No pressure rise post-spark,8e-05,99.97
837,3763.0,-14.7,1.25,511,MISFIRE,No pressure rise post-spark,7e-05,99.97
838,3699.6,-14.7,1.25,511,MISFIRE,No pressure rise post-spark,8e-05,99.97
839,4533.5,-17.3,1.13,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
840,4422.7,-15.6,1.21,507,MISFIRE,No pressure rise post-spark,6e-05,99.97
841,3324.4,-14.2,1.24,511,MISFIRE,No pressure rise post-spark,9e-05,99.97
842,1780.5,-14.4,1.11,511,MISFIRE,No pressure rise post-spark,0.00021,99.97
843,2241.0,-11.5,1.27,521,MISFIRE,No pressure rise post-spark,0.00016,99.97
844,1638.0,-13.0,1.16,518,MISFIRE,No pressure rise post-spark,0.00024,99.97
845,1788.5,-14.2,1.18,518,MISFIRE,No pressure rise post-spark,0.00021,99.97
846,3276.5,-10.3,1.38,524,MISFIRE,No pressure rise post-spark,9e-05,99.97
847,3719.6,-8.5,1.46,530,MISFIRE,No pressure rise post-spark,8e-05,99.97
848,4027.1,-9.1,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
849,6571.7,-15.6,1.03,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
850,2601.1,-12.8,1.27,518,MISFIRE,No pressure rise post-spark,0.00013,99.97
851,4781.5,-16.2,1.16,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
852,3557.5,-13.4,1.29,515,MISFIRE,No pressure rise post-spark,8e-05,99.97
853,6539.2,-9.0,1.22,527,MISFIRE,No pressure rise post-spark,3e-05,99.97
854,5022.9,-17.1,1.11,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
855,5039.2,-17.1,1.11,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
856,5153.4,-14.5,1.22,511,MISFIRE,No pressure rise post-spark,4e-05,99.97
857,6549.6,-14.1,1.06,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
858,4825.6,-17.8,1.12,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
859,2111.1,-13.6,1.19,515,MISFIRE,No pressure rise post-spark,0.00017,99.97
860,6479.5,-13.3,1.11,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
861,5543.8,-16.9,1.11,503,MISFIRE,No pressure rise post-spark,4e-05,99.97
862,7114.8,-11.5,1.05,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
863,4913.9,-15.9,1.19,507,MISFIRE,No pressure rise post-spark,5e-05,99.97
864,7365.7,-14.4,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,99.97
865,2034.4,-9.6,1.3,527,MISFIRE,No pressure rise post-spark,0.00018,99.97
866,1990.1,-10.6,1.27,524,MISFIRE,No pressure rise post-spark,0.00018,99.97
867,1553.1,-14.7,0.63,451,MISFIRE,No pressure rise post-spark,0.00021,99.97
868,6526.5,-11.8,1.16,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
869,2358.4,-16.8,1.1,503,MISFIRE,No pressure rise post-spark,0.00014,99.97
870,3769.3,-15.1,1.22,507,MISFIRE,No pressure rise post-spark,7e-05,99.97
871,5989.7,-9.5,1.1,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
872,2412.7,-8.6,1.38,530,MISFIRE,No pressure rise post-spark,0.00014,99.97
873,7191.6,-11.1,1.04,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
874,5690.4,-15.2,1.14,507,MISFIRE,No pressure rise post-spark,4e-05,99.97
875,4589.8,-13.3,0.76,455,MISFIRE,No pressure rise post-spark,5e-05,99.97
876,6811.3,-15.1,0.99,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
877,6866.4,-12.4,1.07,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
878,4597.4,-16.6,1.17,503,MISFIRE,No pressure rise post-spark,5e-05,99.97
879,7385.9,-11.4,1.04,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
880,7053.2,-10.9,1.09,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
881,6606.2,-16.5,0.58,443,MISFIRE,No pressure rise post-spark,2e-05,99.97
882,2910.2,-8.3,1.42,530,MISFIRE,No pressure rise post-spark,0.00011,99.97
883,3214.8,-17.2,1.12,499,MISFIRE,No pressure rise post-spark,9e-05,99.97
884,4330.3,-16.2,1.18,503,MISFIRE,No pressure rise post-spark,6e-05,99.97
