Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
352,6985.9,-8.4,1.16,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
353,4095.1,-14.0,1.29,515,MISFIRE,No pressure rise post-spark,7e-05,99.97
354,7017.3,-12.9,1.05,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
355,3945.6,-9.4,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.98
356,4422.3,-13.8,1.29,515,MISFIRE,No pressure rise post-spark,6e-05,99.98
357,2735.9,-15.1,1.17,507,MISFIRE,No pressure rise post-spark,0.00011,99.98
358,7217.9,-17.2,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.98
359,2515.8,-17.5,1.08,499,MISFIRE,No pressure rise post-spark,0.00013,99.98
360,3381.0,-16.8,1.17,503,MISFIRE,No pressure rise post-spark,8e-05,99.98
361,4738.2,-13.9,1.28,515,MISFIRE,No pressure rise post-spark,5e-05,99.98
362,6289.4,-8.4,1.28,530,MISFIRE,No pressure rise post-spark,3e-05,99.98
363,7141.5,-15.0,0.96,511,MISFIRE,No pressure rise post-spark,2e-05,99.98
364,1933.1,-11.0,1.26,524,MISFIRE,No pressure rise post-spark,0.00019,99.97
365,2460.7,-12.8,1.26,518,MISFIRE,No pressure rise post-spark,0.00014,99.97
366,3182.6,-9.8,1.41,527,MISFIRE,No pressure rise post-spark,0.0001,99.97
367,5047.8,-17.6,1.11,499,MISFIRE,No pressure rise post-spark,5e-05,99.97
368,3818.3,-8.5,1.46,530,MISFIRE,No pressure rise post-spark,8e-05,99.97
369,6707.6,-18.0,0.94,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
370,6225.5,-17.6,1.01,499,MISFIRE,No pressure rise post-spark,3e-05,99.97
371,3882.8,-12.3,1.33,518,MISFIRE,No pressure rise post-spark,7e-05,99.97
372,4027.9,-8.2,1.47,530,MISFIRE,No pressure rise post-spark,7e-05,99.97
373,7076.7,-12.1,1.03,518,MISFIRE,No pressure rise post-spark,2e-05,99.97
374,2179.4,-8.4,1.35,530,MISFIRE,No pressure rise post-spark,0.00017,99.97
375,4201.7,-14.8,0.74,451,MISFIRE,No pressure rise post-spark,5e-05,99.97
376,6813.0,-16.8,0.96,503,MISFIRE,No pressure rise post-spark,3e-05,99.97
377,4582.5,-8.0,1.45,530,MISFIRE,No pressure rise post-spark,6e-05,99.97
378,1886.8,-14.2,1.12,511,MISFIRE,No pressure rise post-spark,0.00019,99.97
379,7193.9,-9.8,1.1,527,MISFIRE,No pressure rise post-spark,2e-05,99.97
380,2805.5,-16.6,1.14,503,MISFIRE,No pressure rise post-spark,0.00011,99.97
381,4858.7,-9.5,1.41,527,MISFIRE,No pressure rise post-spark,5e-05,99.97
382,4064.9,-15.3,1.22,507,MISFIRE,No pressure rise post-spark,7e-05,99.97
383,5887.4,-16.0,1.12,507,MISFIRE,No pressure rise post-spark,4e-05,99.97
384,3452.0,-9.8,1.42,527,MISFIRE,No pressure rise post-spark,9e-05,99.97
385,3077.7,-14.0,1.27,515,MISFIRE,No pressure rise post-spark,0.0001,99.97
386,5757.9,-10.6,1.3,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
387,5491.6,-9.0,1.36,527,MISFIRE,No pressure rise post-spark,4e-05,99.97
388,5369.8,-16.0,1.16,507,MISFIRE,No pressure rise post-spark,4e-05,99.97
389,6842.8,-15.5,0.99,507,MISFIRE,No pressure rise post-spark,3e-05,99.97
390,1752.2,-11.6,1.2,521,MISFIRE,No pressure rise post-spark,0.00022,99.97
391,3704.9,-17.2,0.66,439,MISFIRE,No pressure rise post-spark,6e-05,99.97
392,3901.1,-11.8,1.37,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
393,4948.5,-13.7,1.27,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
394,6482.8,-13.0,1.11,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
395,5386.8,-17.1,1.24,515,MISFIRE,No pressure rise post-spark,4e-05,99.97
396,5829.4,-11.5,1.26,521,MISFIRE,No pressure rise post-spark,4e-05,99.97
397,3894.5,-9.1,1.43,527,MISFIRE,No pressure rise post-spark,7e-05,99.97
398,1925.7,-17.1,1.03,499,MISFIRE,No pressure rise post-spark,0.00018,99.97
399,6333.1,-10.9,1.22,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
400,1788.6,-14.0,1.11,511,MISFIRE,No pressure rise post-spark,0.00021,99.97
401,4826.2,-8.7,1.44,530,MISFIRE,No pressure rise post-spark,5e-05,99.97
