Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
638,5560.0,STABLE,Normal Physics,1.35,527,0.0,1e-05
639,5531.8,STABLE,Normal Physics,1.35,527,0.0,1e-05
640,5579.6,STABLE,Normal Physics,1.35,527,0.0,1e-05
641,5572.0,STABLE,Normal Physics,1.35,527,0.0,1e-05
642,5571.1,STABLE,Normal Physics,1.35,527,0.0,1e-05
643,5552.1,STABLE,Normal Physics,1.35,527,0.0,1e-05
644,5615.2,STABLE,Normal Physics,1.35,527,0.0,1e-05
645,5573.5,STABLE,Normal Physics,1.35,527,0.0,1e-05
646,5598.2,STABLE,Normal Physics,1.35,527,0.0,1e-05
647,5649.3,STABLE,Normal Physics,1.34,527,0.0,1e-05
648,5607.3,STABLE,Normal Physics,1.35,527,0.0,1e-05
649,5607.6,STABLE,Normal Physics,1.35,527,0.0,1e-05
650,5572.0,MISFIRE,Fuel cut,1.35,527,0.0,0.0
651,5652.2,STABLE,Normal Physics,1.34,527,0.0,1e-05
652,5622.8,MISFIRE,Fuel cut,1.34,527,0.0,0.0
653,5634.5,STABLE,Normal Physics,1.34,527,0.0,1e-05
654,5624.0,STABLE,Normal Physics,1.34,527,0.0,1e-05
655,5683.1,STABLE,Normal Physics,1.34,527,0.0,1e-05
656,5699.1,STABLE,Normal Physics,1.34,527,0.0,1e-05
657,5632.6,STABLE,Normal Physics,1.34,527,0.0,1e-05
658,5718.5,STABLE,Normal Physics,1.33,527,0.0,1e-05
659,5675.8,STABLE,Normal Physics,1.34,527,0.0,1e-05
660,5674.3,STABLE,Normal Physics,1.34,527,0.0,1e-05
661,5729.3,STABLE,Normal Physics,1.33,527,0.0,1e-05
662,5748.1,STABLE,Normal Physics,1.33,527,0.0,1e-05
663,5748.3,STABLE,Normal Physics,1.33,527,0.0,1e-05
664,5686.8,STABLE,Normal Physics,1.34,527,0.0,1e-05
