Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
331,3416.0,STABLE,Normal Physics,1.42,527,0.0,2e-05
332,3443.5,STABLE,Normal Physics,1.42,527,1e-05,2e-05
333,3424.4,STABLE,Normal Physics,1.42,527,1e-05,2e-05
334,3488.2,STABLE,Normal Physics,1.42,527,1e-05,2e-05
335,3434.3,STABLE,Normal Physics,1.42,527,1e-05,2e-05
336,3529.6,STABLE,Normal Physics,1.43,527,1e-05,2e-05
337,3487.3,STABLE,Normal Physics,1.42,527,1e-05,2e-05
338,3464.8,STABLE,Normal Physics,1.42,527,1e-05,2e-05
339,3524.9,STABLE,Normal Physics,1.43,527,1e-05,2e-05
340,3491.4,STABLE,Normal Physics,1.42,527,1e-05,2e-05
341,3525.3,STABLE,Normal Physics,1.43,527,1e-05,2e-05
342,3534.6,STABLE,Normal Physics,1.43,527,1e-05,2e-05
343,3516.5,STABLE,Normal Physics,1.43,527,1e-05,2e-05
344,3546.5,STABLE,Normal Physics,1.43,527,1e-05,2e-05
345,3582.7,STABLE,Normal Physics,1.43,527,0.0,2e-05
346,3564.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
347,3520.2,STABLE,Normal Physics,1.43,527,0.0,2e-05
348,3601.4,STABLE,Normal Physics,1.43,527,1e-05,2e-05
349,3580.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
350,3611.4,STABLE,Normal Physics,1.43,527,0.0,2e-05
351,3621.7,STABLE,Normal Physics,1.43,527,0.0,2e-05
352,3622.4,STABLE,Normal Physics,1.43,527,0.0,2e-05
353,3594.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
354,3578.4,EARLY_FIRE,Pre-ignition,1.43,527,0.0,0.0
355,3578.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
356,3613.7,STABLE,Normal Physics,1.43,527,0.0,2e-05
357,3635.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
358,3625.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
359,3603.5,STABLE,Normal Physics,1.43,527,0.0,2e-05
360,3681.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
361,3611.2,STABLE,Normal Physics,1.43,527,0.0,2e-05
362,3701.7,STABLE,Normal Physics,1.43,527,0.0,2e-05
363,3661.9,STABLE,Normal Physics,1.43,527,0.0,2e-05
364,3650.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
365,3696.9,STABLE,Normal Physics,1.43,527,0.0,2e-05
366,3668.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
367,3737.2,STABLE,Normal Physics,1.43,527,0.0,2e-05
368,3748.4,STABLE,Normal Physics,1.43,527,0.0,2e-05
369,3738.9,EARLY_FIRE,Pre-ignition,1.43,527,0.0,0.0
370,3726.9,MISFIRE,Fuel cut,1.43,527,0.0,0.0
371,3690.9,STABLE,Normal Physics,1.43,527,0.0,2e-05
372,3737.2,STABLE,Normal Physics,1.43,527,0.0,2e-05
373,3751.6,STABLE,Normal Physics,1.43,527,0.0,2e-05
374,3771.3,STABLE,Normal Physics,1.43,527,0.0,2e-05
375,3724.6,STABLE,Normal Physics,1.43,527,0.0,2e-05
376,3781.0,STABLE,Normal Physics,1.43,527,0.0,2e-05
377,3765.5,MISFIRE,Fuel cut,1.43,527,0.0,0.0
378,3774.6,STABLE,Normal Physics,1.43,527,0.0,2e-05
379,3759.1,STABLE,Normal Physics,1.43,527,0.0,2e-05
380,3771.2,STABLE,Normal Physics,1.43,527,0.0,2e-05
381,3745.8,STABLE,Normal Physics,1.43,527,0.0,2e-05
